cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,eins (2123114),0,eins,,,,,
1,sieben (2123135),6,sieben,,,,,
2,vier (2123141),3,vier,707.7169262248494,145.44119586222575,8.558275984475614,1.0,0
2,vier (2123141),3,vier,730.3790940766551,154.04390243902438,3.37387798915116,1.0,1
2,vier (2123141),3,vier,683.008166969147,160.76156987295826,3.3962531349176874,1.0,2
2,vier (2123141),3,vier,709.4476210795818,181.79923191807126,3.563736960901517,1.0,3
2,vier (2123141),3,vier,677.0159227355782,183.13730096580528,3.3898991949429393,1.0,4
3,drei (2126903),2,drei,,,,,
4,fuenf (2126905),4,fuenf,,,,,
5,acht (2126908),7,acht,,,,,
6,sechs (2133382),5,sechs,947.7051146776254,536.8231798744932,5.423715467436877,1.0,0
6,sechs (2133382),5,sechs,1001.985287434674,553.0056805271529,5.364393000995366,1.0,1
6,sechs (2133382),5,sechs,954.2526887175325,580.4080255681819,5.661135803793254,1.0,2
6,sechs (2133382),5,sechs,995.2226406610084,586.004328031027,5.392448322729747,1.0,3
6,sechs (2133382),5,sechs,847.8344276136081,596.0699875838093,12.63046399140611,1.0,4
7,zwei (2133427),1,zwei,,,,,
8,zwoelf (2137246),11,zwoelf,,,,,
9,elf (2137258),10,elf,,,,,
10,zehn (2137262),9,zehn,,,,,
11,dreizehn (2142111),12,dreizehn,,,,,
12,neun (2142614),8,neun,,,,,
