Frame,Sub Frame,"Difference Between Positions - Unlabeled Track (4)➞Unlabeled Track (3)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
555087,0,"0.32672","119.436","-1.00412"
555088,0,"0.581963","119.96","0.0789131"
555089,0,"0.496762","119.464","-0.653959"
555090,0,"0.56695","119.942","0.0392986"
555091,0,"0.377367","119.442","-0.974251"
555092,0,"0.354069","119.439","-0.988972"
555093,0,"0.370562","119.443","-0.94368"
555094,0,"0.441284","119.442","-0.862858"
555095,0,"0.718035","120.017","0.411946"
555096,0,"0.420424","119.469","-0.834406"
555097,0,"0.443833","119.441","-0.849296"
555098,0,"0.357513","119.4","-0.994291"
555099,0,"0.377491","119.423","-1.04706"
555100,0,"0.442216","119.442","-0.827211"
555101,0,"0.591336","119.961","0.0979053"
555102,0,"0.418354","119.448","-0.878339"
555103,0,"0.363416","119.419","-0.988931"
555104,0,"0.354466","119.425","-0.979053"
555105,0,"0.601552","119.961","0.159845"
555106,0,"0.579845","119.959","0.0460716"
555107,0,"0.437207","119.45","-0.865094"
555108,0,"0.532459","119.458","-0.64736"
555109,0,"0.597948","119.965","0.113594"
555110,0,"0.343045","119.447","-0.995463"
555111,0,"0.370401","119.432","-0.913137"
555112,0,"0.599223","119.97","0.14384"
555113,0,"0.429211","119.465","-0.808438"
555114,0,"0.570728","119.981","0.110739"
555115,0,"0.348922","119.432","-0.966659"
555116,0,"0.362083","119.411","-0.980516"
555117,0,"0.439552","119.458","-0.816694"
555118,0,"0.426486","119.438","-0.865069"
555119,0,"0.602426","119.957","0.10532"
555120,0,"0.415074","119.461","-0.866289"
555121,0,"0.407469","119.418","-0.92908"
555122,0,"0.361531","119.444","-1.01441"
555123,0,"0.378946","119.471","-0.935813"
555124,0,"0.722495","119.995","0.398412"
555125,0,"0.585027","119.965","0.0429443"
555126,0,"0.587681","119.966","0.0819605"
555127,0,"0.517233","119.973","0.00146579"
555128,0,"0.518261","119.967","0.0586313"
555129,0,"0.529577","119.974","0.00206793"
555130,0,"0.504288","119.475","-0.616964"
555131,0,"0.534716","119.483","-0.594169"
555132,0,"0.422573","119.447","-0.939828"
555133,0,"0.33145","119.409","-1.09008"
555134,0,"0.364448","119.433","-0.966124"
555135,0,"0.397359","119.452","-0.937689"
555136,0,"0.585539","119.973","0.130662"
555137,0,"0.446486","119.426","-0.890413"
555138,0,"0.426213","119.436","-0.899607"
555139,0,"0.408548","119.414","-0.944767"
555140,0,"0.618234","120.084","0.284917"
555141,0,"0.390279","119.459","-0.909781"
555142,0,"0.559722","119.536","-0.469161"
555143,0,"0.627983","120.017","0.252327"
555144,0,"0.636056","120.01","0.240197"
555145,0,"0.419173","119.497","-0.857245"
555146,0,"0.388832","119.469","-0.861956"
555147,0,"0.375932","119.46","-0.906579"
555148,0,"0.449076","119.487","-0.752606"
555149,0,"0.489892","119.467","-0.76427"
555150,0,"0.600822","119.976","0.151506"
555151,0,"0.596504","119.971","0.178692"
555152,0,"0.36021","119.448","-0.977068"
555153,0,"0.362957","119.439","-0.978183"
555154,0,"0.542101","119.441","-0.641846"
555155,0,"0.406531","119.447","-0.909039"
555156,0,"0.727782","120.014","0.427479"
555157,0,"0.369576","119.448","-0.971911"
555158,0,"0.347927","119.442","-0.986537"
555159,0,"0.361058","119.434","-1.00607"
555160,0,"0.459944","119.467","-0.810158"
555161,0,"0.591572","119.956","0.0905075"
555162,0,"0.69834","119.985","0.388971"
555163,0,"0.324193","119.429","-1.00917"
555164,0,"0.336803","119.409","-1.00103"
555165,0,"0.321247","119.436","-0.957344"
555166,0,"0.530065","119.466","-0.562331"
555167,0,"0.694487","119.971","0.372425"
555168,0,"0.575374","119.966","0.110186"
555169,0,"0.359454","119.454","-0.915882"
555170,0,"0.358231","119.423","-0.938"
555171,0,"0.33208","119.422","-1.01058"
555172,0,"0.578833","119.968","0.0816374"
555173,0,"0.421009","119.423","-0.914092"
555174,0,"0.414609","119.434","-0.885601"
555175,0,"0.40506","119.43","-0.884629"
555176,0,"0.495923","119.944","-0.0345"
555177,0,"0.391728","119.424","-0.938693"
555178,0,"0.509792","119.445","-0.707227"
555179,0,"0.704477","120.007","0.414268"
555180,0,"0.412527","119.429","-0.884989"
555181,0,"0.354841","119.424","-1.02225"
555182,0,"0.351726","119.416","-1.06082"
555183,0,"0.343957","119.414","-1.00098"
555184,0,"0.434822","119.446","-0.857487"
555185,0,"0.601825","119.971","0.0988192"
555186,0,"0.448293","119.464","-0.834908"
555187,0,"0.354193","119.447","-0.937962"
555188,0,"0.337051","119.426","-1.04347"
555189,0,"0.58516","119.949","0.11953"
555190,0,"0.39602","119.44","-0.940029"
555191,0,"0.591843","119.945","0.0959689"
555192,0,"0.577616","119.968","0.101114"
555193,0,"0.357771","119.461","-0.930667"
555194,0,"0.331785","119.425","-0.992559"
555195,0,"0.514583","119.942","-0.0323925"
555196,0,"0.591082","119.967","0.11161"
555197,0,"0.598196","119.947","0.0793339"
555198,0,"0.593339","119.953","0.0995717"
555199,0,"0.35801","119.45","-0.975539"
555200,0,"0.360979","119.443","-0.950526"
555201,0,"0.369408","119.423","-0.990065"
555202,0,"0.437574","119.454","-0.817576"
555203,0,"0.433745","119.458","-0.869896"
555204,0,"0.682832","120.011","0.38154"
555205,0,"0.341408","119.42","-1.02037"
555206,0,"0.324598","119.411","-1.03784"
555207,0,"0.372811","119.451","-0.927181"
555208,0,"0.575722","119.977","0.10928"
555209,0,"0.689024","120.003","0.383382"
555210,0,"0.586549","119.989","0.161205"
555211,0,"0.501687","119.964","0.00305085"
555212,0,"0.364","119.419","-1.02182"
555213,0,"0.337419","119.447","-0.995679"
555214,0,"0.734563","120.003","0.4714"
555215,0,"0.435705","119.449","-0.878505"
555216,0,"0.415836","119.457","-0.897289"
555217,0,"0.523232","119.967","-0.00814976"
555218,0,"0.348011","119.446","-0.97676"
