cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,eins (2123114),0,eins,877.3184292379472,1047.286936236392,2.082745435038254,1.0,0
0,eins (2123114),0,eins,833.693974005514,1061.3733753446238,2.0672540166660145,1.0,1
1,sieben (2123135),6,sieben,1563.0503080082135,685.5333675564682,2.322530687124091,1.0,0
1,sieben (2123135),6,sieben,1393.475009686168,739.6245641224332,2.4070220080477727,1.0,1
1,sieben (2123135),6,sieben,1652.9993016759777,831.7255586592179,2.529475362044625,1.0,2
1,sieben (2123135),6,sieben,1480.5958592132506,853.7320910973085,2.562223014504959,1.0,3
2,vier (2123141),3,vier,124.2127659574468,899.8510638297872,1.3018773226194345,0.16785714030265808,0
2,vier (2123141),3,vier,164.27272727272728,1033.1818181818182,1.02851895445316,0.04984990507364273,1
3,drei (2126903),2,drei,411.4790110739119,505.85037342261137,2.53323073886656,1.0,0
3,drei (2126903),2,drei,521.0059825126554,565.2781868384722,2.678210260805748,1.0,1
3,drei (2126903),2,drei,278.366735775167,594.6528449665975,2.7548197808847577,1.0,2
4,fuenf (2126905),4,fuenf,1694.4954128440368,582.5853211009174,1.162914877598972,1.0,0
4,fuenf (2126905),4,fuenf,629.7586206896551,1066.83908045977,2.9046593337074222,0.815625011920929,1
5,acht (2126908),7,acht,1719.545616113744,751.8287914691944,1.8044206819473698,1.0,0
5,acht (2126908),7,acht,1629.5946649316852,794.8022121014964,1.90754033385986,1.0,1
5,acht (2126908),7,acht,669.3510436432638,885.0417457305502,1.3886754230027936,1.0,2
5,acht (2126908),7,acht,730.6533435818601,888.8508839354342,1.5224325365772846,1.0,3
5,acht (2126908),7,acht,761.7557312252965,890.6490118577075,1.5264115936610354,1.0,4
5,acht (2126908),7,acht,725.5667678300455,927.5288315629742,1.5909592984967922,0.8463704586029053,5
5,acht (2126908),7,acht,720.3289877300614,967.3849693251534,1.557984413721725,1.0,6
6,sechs (2133382),5,sechs,,,,,
7,zwei (2133427),1,zwei,718.1824933687003,74.23023872679045,1.8192308030713302,1.0,0
7,zwei (2133427),1,zwei,585.9843273835437,880.435350457118,1.9820890042580561,1.0,1
7,zwei (2133427),1,zwei,579.7684434968018,912.7300639658848,1.9844588740371871,1.0,2
7,zwei (2133427),1,zwei,632.195526097763,921.9204639602319,2.028063418145547,1.0,3
7,zwei (2133427),1,zwei,685.65,930.7311965811966,1.9755498314107087,1.0,4
8,zwoelf (2137246),11,zwoelf,880.4770491803279,107.08524590163934,2.0079725535640924,0.762499988079071,0
8,zwoelf (2137246),11,zwoelf,702.125,203.7375,1.433854072072887,0.21944443881511688,1
8,zwoelf (2137246),11,zwoelf,949.5746268656717,255.61194029850745,1.7601502092688364,0.5153846144676208,2
8,zwoelf (2137246),11,zwoelf,830.9038461538462,337.16346153846155,1.4692987298015505,0.5777778029441833,3
9,elf (2137258),10,elf,,,,,
10,zehn (2137262),9,zehn,1280.4375,93.33333333333333,0.9677974707780779,0.30000001192092896,0
10,zehn (2137262),9,zehn,1283.1,93.44,0.8202438661763952,0.3125,1
10,zehn (2137262),9,zehn,1282.1351351351352,95.8108108108108,0.7352146220938077,0.30000001192092896,2
10,zehn (2137262),9,zehn,1322.3783333333333,152.2875,2.810708441735721,0.7557704448699951,3
10,zehn (2137262),9,zehn,1279.2584985835695,180.81586402266288,2.958823330285793,0.6890587210655212,4
10,zehn (2137262),9,zehn,1342.4227381905525,181.93434747798239,2.8726396942155503,0.6851774454116821,5
10,zehn (2137262),9,zehn,1237.7209302325582,208.2093023255814,0.8563698902103242,0.3499999940395355,6
10,zehn (2137262),9,zehn,1234.6962025316457,208.29113924050634,0.9142010169755842,0.6499999761581421,7
10,zehn (2137262),9,zehn,1236.542372881356,210.98305084745763,0.9320492938893233,0.28999999165534973,8
11,dreizehn (2142111),12,dreizehn,1121.5986565910998,957.9963616008956,2.824805782559105,1.0,0
11,dreizehn (2142111),12,dreizehn,920.9324116743471,975.6565723063419,3.123858120462633,1.0,1
12,neun (2142614),8,neun,695.6153136531366,856.9760147601476,1.4667043768281862,1.0,0
12,neun (2142614),8,neun,811.8156590683845,886.5014866204162,1.4357466343320597,1.0,1
12,neun (2142614),8,neun,755.6795626576956,890.2178301093355,1.5277062046449992,1.0,2
12,neun (2142614),8,neun,700.4014801110084,893.4810360777059,1.4120001568525515,1.0,3
12,neun (2142614),8,neun,710.9245982694684,965.1928306551298,1.3363038819309063,1.0,4
